table,row_id,post_type,target_length_tier,word_count,min_words,max_words,estimated_duration_s,status,has_video,video_status,duration_contract_status,audit_status,script_preview
posts,6c9fb847-25aa-493e-8174-48fad3ff00a6,product,32,59,32,66,23,valid,False,pending,,,"Du suchst eine smarte Lösung, um Höhenunterschiede zu überwinden? Mit LEVEL, dem HUBLIFT STL300, erreichst du bis zu 2.990 mm – ganz ohne Treppe! Dieser Plattformlift benötigt kein"
posts,79e742bf-f553-4e2e-b9cd-48e287832e70,product,32,66,32,66,25,valid,False,pending,,,Schwierige Treppen? VIA macht Schluss mit Hindernissen in deinem Zuhause! Dieser Sitztreppenlift wurde speziell für kurvige und mehrstöckige Treppen im Innen- und Außenbereich entw
posts,c7c29dbe-6549-4ca9-9e9b-0c703025e35b,value,16,36,26,36,14,valid,False,pending,,,"Einfach mal los, aber dein Kopf plant schon monatelang im Voraus für jede Kleinigkeit. Dieser unsichtbare Rucksack voller Planung erzeugt einen immensen Mental Load, den du immer m"
posts,f3fe30b5-8054-430f-8e70-c0934eca2fc5,value,32,72,54,74,28,valid,False,pending,,,"Sorry, aber dein Schwerbehindertenausweis allein reicht nicht für die Freifahrt im ÖPNV. Du brauchst zwingend ein Beiblatt mit Wertmarke vom Versorgungsamt. Nur mit grün-orangefarb"
posts,5f03b73e-de8a-4af9-9929-275d93a64b7c,value,32,72,54,74,28,valid,False,pending,,,"Sorry, aber dein Schwerbehindertenausweis allein reicht nicht für die Freifahrt im ÖPNV. Du brauchst zwingend ein Beiblatt mit Wertmarke vom Versorgungsamt. Nur mit grün-orangefarb"
posts,c4b467e7-ae7f-4404-bb74-653d53a2db5c,value,16,32,26,36,12,valid,False,pending,,,"Dein Schwerbehindertenausweis allein reicht nicht für kostenloses Fahren! Du brauchst zwingend ein Beiblatt mit gültiger Wertmarke vom Versorgungsamt. Nur mit den Merkzeichen G, aG"
posts,77d03b67-5137-46ac-87dc-b0e749c1898d,value,16,33,26,36,13,valid,False,pending,,,350 Kilo – das ist oft das Limit für die Rampe im Bus. Dein Rollstuhl muss zudem immer entgegen der Fahrtrichtung gesichert werden. So sieht Barrierefreiheit im ÖPNV-Alltag aus – t
posts,99a18215-0687-42d9-bb8f-ffdbfb56aa23,value,16,28,26,36,11,valid,False,pending,,,"Niemand redet darüber, aber deine Festival Tickets müssen seit 2025 digital barrierefrei sein. Mit dem Rollstuhl aufs Festival – Barrierefrei, mit Abstrichen –. Informationen zur B"
posts,e3c6ab4c-4424-4016-82a2-602f001ae7b9,value,16,36,26,36,14,valid,False,pending,,,"Einfach mal los, aber dein Kopf plant schon monatelang im Voraus für jede Kleinigkeit. Dieser unsichtbare Rucksack voller Planung erzeugt einen immensen Mental Load, den du immer m"
posts,7ca842c0-3521-40e5-bdb4-d2005f327960,value,16,34,26,36,13,valid,False,pending,,,"Als Rollstuhlfahrer kennst du das: Digitale Ämter blockieren dich oft noch komplett. Die Digitalisierung kommt zu langsam, wodurch Online Dienste und die BundID viele mit geringer "
posts,54251bb7-357a-42a9-9510-457063b1622f,product,16,29,24,34,11,valid,False,pending,,,"Deine Treppe ist eine Herausforderung? Der VARIO PLUS passt sich an jede gerade, kurvige, steile oder enge Treppe an. Ob mit Rollstuhl auf der Plattform oder sitzend – du entscheid"
posts,23eb1c7b-2dfa-4c87-8862-0e264b962119,product,32,56,32,66,22,valid,False,pending,,,"Dein Zuhause barrierefrei gestalten? Mit dem VARIO PLUS kein Problem! Egal ob gerade, kurvige, steile oder enge Treppen – dieser Plattformtreppenlift passt sich perfekt an. Du kann"
posts,161cabd2-bab6-441b-91e6-94c0caef3b19,product,32,57,32,66,22,valid,False,pending,,,"Hast du eine gerade, kurvige, steile oder enge Treppe? Der VARIO PLUS meistert jede Herausforderung, drinnen und draußen! Ob als Plattformlift für Rollstühle oder als Sitzlift – du"
posts,a0fbf614-f99b-4a15-955c-f198af9edca0,product,32,60,32,66,23,valid,False,pending,,,Du suchst eine clevere Lösung für kurze Höhenunterschiede? Der Vertikal-Plattformlift STL300 ist ideal für Höhen bis 2.990 mm und braucht keinen Aufzugsschacht! Egal ob für deine G
posts,5b4cc227-a53a-4e03-82b7-21836eda099c,lifestyle,8,16,16,20,6,valid,False,pending,,,"Fast alle denken, Spontanität im Rollstuhl ist stressig, aber ich zeig dir, wie es entspannter geht!"
posts,8f70c7d9-7f78-411f-afac-91277cb0a929,value,8,15,14,18,6,valid,False,pending,,,"Der Einkaufswagen ist im Supermarkt 2026 eine unerkannte Barriere, die dich als Rollstuhlnutzer extrem erschöpft."
