id,title,profile,failure_reason,detail,created_at,variant_count,caption_excerpt
77d03b67-5137-46ac-87dc-b0e749c1898d,Dimensionen Barrierefreiheit - Barrierefreiheit im ÖPNV-Alltag,standard,standard_block_structure_violation,missing the expected hook/body/cta/hash block separation,2026-04-01T16:06:55.827069+00:00,3,"Dein Alltag im ÖPNV: Kennst du die wahren Hürden? Defekte Aufzüge und unterschiedliche Bahnsteighöhen sind oft unüberwindbare Hindernisse für deine Reisekette. Teile das, wenn es d"
212f853c-6fac-4299-a209-048acf84d7d1,"Gesetzliche Grundlagen medizinische Voraussetzungen - Begleitperson im Nahverkehr mit Merkzeichen B (Freifahrt, Nachweis, aktuelle Regeln)",standard,incomplete_variant_bundle,only 1 variant(s) stored; expected 3 for the standard path | caption length 303 not in 150-300 char range,2026-04-01T16:07:05.59743+00:00,1,Merkzeichen B? Dein Begleiter fährt umsonst – so einfach sparst du im Alltag!  Dein gültiger Schwerbehindertenausweis mit Merkzeichen B ist der einzige Fahrschein für deine Begleit
c4b467e7-ae7f-4404-bb74-653d53a2db5c,Grundlagen rechtlicher Anspruch - Unentgeltliche Beförderung und Wertmarke im ÖPNV für Menschen mit Schwerbehinderung,standard,incomplete_variant_bundle,only 1 variant(s) stored; expected 3 for the standard path | missing the expected hook/body/cta/hash block separation,2026-04-01T16:07:17.634364+00:00,1,"Wertmarke ÖPNV: Dieses Detail kennen viele nicht! Nur mit Merkzeichen wie G, aG, H, Bl oder Gl hast du Anspruch auf die Wertmarke für kostenlose Fahrten. Speichere es jetzt! #Wertm"
6dccecf2-3918-42dc-885c-e7d47c96c546,"Einleitung grundlegender Auftrag Mobilitätsservice-Zentrale - Mobilitätsservice-Zentrale der Deutschen Bahn (MSZ) – Leistungen, Fristen und Abläufe",standard,standard_length_violation,caption length 307 not in 150-300 char range | missing the expected hook/body/cta/hash block separation,2026-04-01T19:11:54.214772+00:00,3,Mobilitätsservice: Dein Recht auf Mitfahrt – doch der Informationsfluss hinkt oft! 😤 Bei kurzfristigen Gleiswechseln oder Verspätungen gibt es noch Optimierungsbedarf. Aktives Meld
c70b4ae6-675c-4f60-98ef-14d05b2c28ae,Barrierefreies Reisen Hilfsangebote - Rechte bei Bahnreisen im europäischen und deutschen Raum,standard,standard_length_violation,caption length 354 not in 150-300 char range | missing the expected hook/body/cta/hash block separation,2026-04-01T19:46:26.437607+00:00,3,Barrierefreie Bahnreise? Die Realität sieht oft anders aus! Die EU-Regel ist noch nicht genug. Die EU reduzierte die Frist für Hilfeersuchen auf 24h. Doch Länder wie Bulgarien ford
0e9de9b2-2965-480e-b637-0fe3cbdba881,Einführung rechtlicher Rahmen - Barrierefreie Mobilität und Rollstuhltransport im europäischen Flug- und Bahnverkehr,standard,incomplete_variant_bundle,only 1 variant(s) stored; expected 3 for the standard path | caption length 334 not in 150-300 char range | missing the expected hook/body/cta/hash block separation,2026-04-01T19:46:38.436132+00:00,1,Rollstuhl im Flugzeug beschädigt? Was viele nicht wissen: Voller Ersatz ist oft Fehlanzeige. Die Entschädigung durch Fluggesellschaften deckt den Zeitwert moderner Elektrorollstühl
9d773b76-7663-476d-9606-f9299a639828,Rechtliche Rahmenbedingungen EU-Verordnung - Fluggastrechte und barrierefreies Reisen mit dem Rollstuhl,standard,incomplete_variant_bundle,only 2 variant(s) stored; expected 3 for the standard path | missing the expected hook/body/cta/hash block separation,2026-04-01T19:46:46.454586+00:00,2,"Rollstuhl kaputt am Flughafen? Dein Recht auf Entschädigung. Geht dein Rollstuhl beim Verladen verloren oder wird beschädigt, hast du Anspruch auf Schadenersatz nach dem Montrealer"
5b3303da-76c9-4b88-8472-4b0f871525e1,"Einleitung grundlegender Auftrag Mobilitätsservice-Zentrale - Mobilitätsservice-Zentrale der Deutschen Bahn (MSZ) – Leistungen, Fristen und Abläufe",standard,incomplete_variant_bundle,only 1 variant(s) stored; expected 3 for the standard path | missing the expected hook/body/cta/hash block separation,2026-04-01T19:46:58.292446+00:00,1,"MSZ: Was viele nicht wissen! Nicht nur DB-Züge sind dabei. Die Mobilitätsservice-Zentrale koordiniert Hilfeleistungen für ALLE Eisenbahnverkehrsunternehmen, nicht nur die DB. Überr"
de475372-ab70-4356-b2c4-e74999a0f795,"Gesetzliche Grundlagen medizinische Voraussetzungen - Begleitperson im Nahverkehr mit Merkzeichen B (Freifahrt, Nachweis, aktuelle Regeln)",standard,incomplete_variant_bundle,only 2 variant(s) stored; expected 3 for the standard path,2026-04-01T19:47:10.380853+00:00,2,"Begleitperson Freifahrt: Was viele nicht über die Wertmarke wissen.  Die Freifahrt ist gesetzlich garantiert, auch wenn die schwerbehinderte Person selbst keine Wertmarke besitzt. "
2e505612-f6c4-41f5-a715-02806408aba3,Barrierefreies Reisen Hilfsangebote - Rechte bei Bahnreisen im europäischen und deutschen Raum,standard,incomplete_variant_bundle,only 1 variant(s) stored; expected 3 for the standard path | missing the expected hook/body/cta/hash block separation,2026-04-01T20:49:56.914116+00:00,1,"Bahnreisen-Hilfe: 24 Stunden reichen oft nicht! 😱 Die Wahrheit überrascht. In den Niederlanden musst du Hilfebedarf 48 Stunden vorab anmelden. Plane besser mehr Zeit ein, um nicht "
